underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
NVDA,2026-01-11,NVDA,2026-01-16,0.5,C,,,,185.52,152.0,,183.7,,184.95,171.04,171.64,,,0.500005,,,,,,,183.7,,184.95,171.04,171.64,,38224.0,
NVDA,2026-01-11,NVDA,2026-01-16,1.0,C,,,,184.36,12.0,,183.15,,184.65,171.04,171.64,,,19.750003828125003,,,,,,,183.15,,184.65,171.04,171.64,,17681.0,
NVDA,2026-01-11,NVDA,2026-01-16,1.5,C,,,,183.48,19.0,,182.7,,183.9,171.04,171.64,,,26.531251708984378,,,,,,,182.7,,183.9,171.04,171.64,,2098.0,
NVDA,2026-01-11,NVDA,2026-01-16,2.0,C,,,,182.74,1.0,,182.2,,183.6,171.04,171.64,,,16.312504902343754,,,,,,,182.2,,183.6,171.04,171.64,,19707.0,
NVDA,2026-01-11,NVDA,2026-01-16,2.5,C,,,,182.52,19.0,,181.65,,183.25,171.04,171.64,,,16.437504863281255,,,,,,,181.65,,183.25,171.04,171.64,,1030.0,
NVDA,2026-01-11,NVDA,2026-01-16,3.0,C,,,,184.19,186.0,,181.25,,182.65,171.04,171.64,,,15.5625002734375,,,,,,,181.25,,182.65,171.04,171.64,,4457.0,
NVDA,2026-01-11,NVDA,2026-01-16,3.5,C,,,,183.99,67.0,,179.8,,182.95,171.04,171.64,,,13.1875017578125,,,,,,,179.8,,182.95,171.04,171.64,,74.0,
NVDA,2026-01-11,NVDA,2026-01-16,4.0,C,,,,185.59,76.0,,179.3,,182.45,171.04,171.64,,,12.687502070312501,,,,,,,179.3,,182.45,171.04,171.64,,249.0,
NVDA,2026-01-11,NVDA,2026-01-16,4.5,C,,,,185.14,172.0,,178.8,,181.95,171.04,171.64,,,12.250002343750001,,,,,,,178.8,,181.95,171.04,171.64,,173.0,
NVDA,2026-01-11,NVDA,2026-01-16,5.0,C,,,,178.99,1.0,,178.45,,180.45,171.04,171.64,,,17.312504589843755,,,,,,,178.45,,180.45,171.04,171.64,,1323.0,
NVDA,2026-01-11,NVDA,2026-01-16,5.5,C,,,,177.25,2.0,,177.8,,180.95,171.04,171.64,,,11.5000028125,,,,,,,177.8,,180.95,171.04,171.64,,173.0,
NVDA,2026-01-11,NVDA,2026-01-16,6.0,C,,,,179.8,1.0,,182.75,,185.85,171.04,171.64,,,39.92187876220704,,,,,,,182.75,,185.85,171.04,171.64,,71.0,
NVDA,2026-01-11,NVDA,2026-01-16,7.0,C,,,,173.25,6.0,,176.3,,179.45,171.04,171.64,,,10.625003359375002,,,,,,,176.3,,179.45,171.04,171.64,,119.0,
